title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"3 Mindfulness meditations to Reduce stress","3-mindfulness-meditations-to-reduce-stress-139","Set aside time each day to reap the most benefit from these stress-busting mindfulness meditation exercises.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"All about sleep disorders","all-about-sleep-disorders-140","Noticing changes in your sleep patterns? It could be a sleep disorder. Explore sleep disorder symptoms and treatments.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Caregiver stress: Take care of yourself first","caregiver-stress-take-care-of-yourself-first-141","If you're like a lot of caregivers, you probably take better care of your loved one than yourself. But you won't be much help to your loved one if you don't take care of yourself and your own health deteriorates.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Better sleep may help cure headaches","better-sleep-may-help-cure-headaches-142","Headaches and sleep are closely linked. Discover how managing sleep problems can help prevent or ease some headaches.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Communicate effectively","communicate-effectively-143","Try these ideas to improve the way you communicate. A few simple tactics can assist you with communicate effectively and skillfully manage stressful situations.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Components of a resilient mindset","components-of-a-resilient-mindset-144","Resilience is the ability to withstand hardships, bounce back from adversity and grow despite life's downturns. Discover how to use gratitude, compassion, acceptance, meaning and forgiveness to increase your resilience.","FXMed Team","General Wellness","5 min read","draft","","",""
"Daylight saving: don't let the time change spoil your sleep","daylight-saving-dont-let-the-time-change-spoil-your-sleep-145","Daylight saving time can steal your zzz's. Before turning clocks forward or back, discover how to beat the time change and sleep better.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Creating Enduring family bonds","creating-enduring-family-bonds-146","Keeping strong family connections is sometimes a challenge. But loving, supportive family ties are a lifesaver during times of intense stress. Try these ideas to improve communications and create enduring family bonds.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Dental issues affect sleep","dental-issues-affect-sleep-147","Teeth grinding and jaw pain can harm your sleep. Discover how to manage dental issues to improve sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Develop your people skills","develop-your-people-skills-148","How you see yourself may not be how others see you. You may see yourself as being direct, but your co-worker describes you as a harsh communicator. When values and opinions clash, tolerance and understanding are needed.","FXMed Team","General Wellness","5 min read","draft","","",""
"7 Tips to A better bedtime routine","7-tips-to-a-better-bedtime-routine-149","Sleep is important for good health. Following a bedtime routine gets your body and mind ready for a good night's sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Overcome generational differences at work","overcome-generational-differences-at-work-150","Misunderstanding generational differences at work can cause stress. Use these insights to better understand older and younger generations and improve how you communicate.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Drowsy driving dangers","drowsy-driving-dangers-151","Driving while drowsy is a major cause of crashes. Discover how to recognize and prevent drowsy driving dangers.","FXMed Team","General Wellness","5 min read","draft","","",""
"How Do you build your network?","how-do-you-build-your-network-152","People who feel connected to others tend to be healthier physically and have stronger immune systems. Even simple interactions can assist you with feel more positive. Try these techniques to strengthen your social connections.","FXMed Team","General Wellness","5 min read","draft","","",""
"How gratitude makes you happier","how-gratitude-makes-you-happier-153","Learning to practice gratitude doesn't mean pretending that everything in your life is perfect. But it does assist you with find value in the imperfections and challenges. Gratitude assists you with recognize your blessings -; both obvious and hidden -; and feel content in the present moment.","FXMed Team","General Wellness","5 min read","draft","","",""
"How to find your meaning and Purpose","how-to-find-your-meaning-and-purpose-154","Finding meaning and purpose involves carefully thinking about who you are and what you value in.  This feeds your inner spirit and can enhance your quality of life, both mentally and physically.","FXMed Team","General Wellness","5 min read","draft","","",""
"High-tech baby monitors: Helpful or hazardous?","high-tech-baby-monitors-helpful-or-hazardous-155","Monitors that track your baby's vital signs are growing in popularity. But do they work? Are they safe? Discover the answers to these questions and more.","FXMed Team","General Wellness","5 min read","draft","","",""
"Parenting without pressure","parenting-without-pressure-156","Parenting offers wonderful experiences and increases stress as well. If you're feeling overwhelmed, ask yourself some basic questions to help identify where you may be able to reduce some pressure.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Protect your time","protect-your-time-157","Sometimes it's tough to determine which activities deserve your time and attention. Use these evaluation techniques to reduce your stress and improve your time management skills.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Put the fun back in life","put-the-fun-back-in-life-158","It's important to your stress resilience to keep enjoyable activities in your life. You'll feel energized and have a more positive attitude toward life when you give yourself permission to have some healthy fun.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"How Much sleep does your child need?","how-much-sleep-does-your-child-need-159","Sleep is important for a child's growth and development. Discover how much sleep your child needs by age.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Stop negative thought patterns to reduce stress","stop-negative-thought-patterns-to-reduce-stress-160","Negative thinking patterns happen automatically and can keep you from living a happier life. But you aren't a slave to your brain. Gain the ability to balance your thinking with these techniques.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Stress response: Part behavior, part genetics","stress-response-part-behavior-part-genetics-161","Recognize your stress reactions and be wary of harmful coping mechanisms like smoking and drinking. How well you handle stress is a combination of your genetics and learned experiences.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"How to spot and Prevent insomnia","how-to-spot-and-prevent-insomnia-162","Insomnia is a sleep disorder that can disrupt healthy sleep patterns. Know these signs, symptoms and remedies to get back to sleep and stay asleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"What do you value?","what-do-you-value-163","How many things do you do on a daily basis that you value? If you're like most people, your life is full of running errands and taking care of responsibilities. Add meaning to your life by identifying the experiences and people you value to determine where you should schedule your time.","FXMed Team","General Wellness","5 min read","draft","","",""
"How being assertive can help reduce stress","how-being-assertive-can-help-reduce-stress-164","Communicating assertively may help reduce your stress -; and boost your connection with others. Try these tips for more assertive communication.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Information overload makes for restless nights","information-overload-makes-for-restless-nights-165","If you're stressed before bed, it could impact your ability to sleep. Discover how to tune out negative news for more restful sleep.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
